2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger initialized.
2025-08-11 19:24:12 - TradeLogger - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger name: TradeLogger
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger initialized.
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger name: Drawdown Monitor
2025-08-11 19:24:12 - Drawdown Monitor - INFO - [DAILY RESET] Portfolio start set to 100,000.00
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.032074+00:00 | enter_short 1 MSFT @ 334.43 | SL:336.25464285714287 TP:331.9971428571429 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.127233+00:00 | enter_short 1 MSFT @ 334.21 | SL:336.01321428571424 TP:331.80571428571426 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.214268+00:00 | enter_short 1 MSFT @ 334.47 | SL:336.1532142857143 TP:332.22571428571433 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.376518+00:00 | enter_short 1 MSFT @ 334.54 | SL:336.2532142857143 TP:332.2557142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.422470+00:00 | enter_short 1 MSFT @ 334.51 | SL:336.2157142857143 TP:332.23571428571427 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.518259+00:00 | enter_short 1 MSFT @ 334.51 | SL:336.2725 TP:332.15999999999997 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.623511+00:00 | enter_short 1 MSFT @ 334.60 | SL:336.25857142857143 TP:332.3885714285714 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.750469+00:00 | enter_short 1 MSFT @ 334.22 | SL:335.8089285714286 TP:332.1014285714286 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.822267+00:00 | enter_short 1 MSFT @ 334.05 | SL:335.7396428571429 TP:331.7971428571429 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:37 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:37.973804+00:00 | enter_short 1 MSFT @ 334.03 | SL:335.695 TP:331.80999999999995 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:38 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:38.055576+00:00 | enter_short 1 MSFT @ 334.27 | SL:335.97999999999996 TP:331.98999999999995 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:38 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:38.126777+00:00 | enter_short 1 MSFT @ 334.19 | SL:335.9139285714286 TP:331.89142857142855 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:38 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:38.228892+00:00 | enter_short 1 MSFT @ 334.47 | SL:336.23357142857145 TP:332.11857142857144 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:38 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:38.329480+00:00 | enter_short 1 MSFT @ 334.55 | SL:336.5160714285714 TP:331.92857142857144 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:38 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:38.471129+00:00 | enter_short 1 MSFT @ 334.53 | SL:336.4767857142857 TP:331.9342857142857 TS:None | strat=MomentumStrategy regime=normal
